website,loc,lastmod,cured_name,type
www.test.com,https://www.kevinrchant.com/2019/08/28/finding-sql-server-versions-for-docker-and-linux-using-a-web-browser/,2024 02 27,test article pour date,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/08/28/finding-sql-server-versions-for-docker-and-linux-using-a-web-browser/,2019 08 29,finding sql server versions for docker and linux using a web browser,microsoft
www.kevinrchant.com,https://www.kevinrchant.com/2019/10/14/speaking-at-sql-saturday-sofia/,2019 10 14,speaking at sql saturday sofia,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/10/16/challenging-yourself-at-conferences/,2019 10 16,challenging yourself at conferences,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/10/21/guidelines-for-deploying-big-data-clusters-using-a-visual-studio-subscription/,2019 10 21,guidelines for deploying big data clusters using a visual studio subscription,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/10/23/using-azure-data-studio-insiders-build/,2019 10 23,using azure data studio insiders build,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/10/28/being-sql-server-product-owner/,2019 10 28,being sql server product owner,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/11/12/t-sql-tuesday-120-severely-neglected-index/,2019 11 12,t sql tuesday 120 severely neglected index,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/12/16/setting-realistic-expectations/,2019 12 16,setting realistic expectations,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/12/20/personal-2019-review/,2019 12 20,personal 2019 review,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/12/30/looking-back-at-last-decade/,2020 01 11,looking back at last decade,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/01/14/t-sql-tuesday-122-imposter-syndrome/,2020 01 14,t sql tuesday 122 imposter syndrome,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/11/19/significant-azure-data-studio-update/,2020 01 21,significant azure data studio update,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/02/03/speaking-at-sql-saturday-edinburgh/,2020 02 04,speaking at sql saturday edinburgh,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/02/11/t-sql-tuesday-123-favourite-sql-server-life-hack/,2020 02 11,t sql tuesday 123 favourite sql server life hack,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/10/t-sql-tuesday-124-turning-query-store-on-everywhere/,2020 03 10,t sql tuesday 124 turning query store on everywhere,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/15/everybody-has-different-levels-of-stress/,2020 03 15,everybody has different levels of stress,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/17/recommended-azure-sql-database-learning-resources/,2020 03 17,recommended azure sql database learning resources,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/30/first-online-party-with-friends-experience/,2020 03 30,first online party with friends experience,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/01/interesting-azure-devops-extension-workaround/,2020 04 01,interesting azure devops extension workaround,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/09/data-community-weekender-europe-call-for-speakers/,2020 04 09,data community weekender europe call for speakers,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/13/data-community-weekender-europe-updates/,2020 04 13,data community weekender europe updates,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/14/t-sql-tuesday-125-unit-testing-database-changes/,2020 04 14,t sql tuesday 125 unit testing database changes,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/22/schedule-for-data-community-weekender-europe-now-live/,2020 04 22,schedule for data community weekender europe now live,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/25/online-events-are-important-right-now/,2020 04 25,online events are important right now,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/06/some-things-other-than-a-dataweekender-review/,2020 05 06,some things other than a dataweekender review,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/12/t-sql-tuesday-126-organizing-dataweekender/,2020 05 12,t sql tuesday 126 organizing dataweekender,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/20/ten-comments-i-think-every-sql-server-dba-wants-to-say/,2020 05 20,ten comments i think every sql server dba wants to say,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/27/azure-devops-retrospective-extension-is-staying/,2020 05 27,azure devops retrospective extension is staying,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/22/thoughts-about-sql-server-index-fragmentation-recommendations/,2020 06 23,thoughts about sql server index fragmentation recommendations,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/06/providing-feedback-to-microsoft-can-work/,2020 07 06,providing feedback to microsoft can work,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/13/loving-microsoft-teams-right-now/,2020 07 13,loving microsoft teams right now,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/21/july-2020-azure-data-studio-update/,2020 07 21,july 2020 azure data studio update,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/27/issues-if-renaming-your-main-git-branch-in-azure-devops/,2020 07 27,issues if renaming your main git branch in azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/03/dataweekender-call-for-attendees/,2020 08 03,dataweekender call for attendees,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/10/thoughts-about-sqlbits-going-virtual/,2020 08 10,thoughts about sqlbits going virtual,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/11/t-sql-tuesday-129-sql-community-time-capsule/,2020 08 11,t sql tuesday 129 sql community time capsule,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/17/dataweekender-is-an-inclusive-event/,2020 08 17,dataweekender is an inclusive event,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/08/19/looking-at-the-bigger-picture/,2020 08 19,looking at the bigger picture,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/02/tips-about-creating-database-projects-in-azure-data-studio/,2020 09 02,tips about creating database projects in azure data studio,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/10/organize-data-platform-presentations-using-azure-devops/,2020 09 10,organize data platform presentations using azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/16/update-both-a-sql-server-2019-database-and-an-azure-sql-database-with-one-commit/,2020 09 16,update both a sql server 2019 database and an azure sql database with one commit,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/09/30/you-can-set-default-branch-name-for-new-repositories-in-azure-devops/,2020 09 30,you can set default branch name for new repositories in azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/08/what-is-new-for-the-next-dataweekender/,2020 10 11,what is new for the next dataweekender,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/15/dataweekenders-unique-formula/,2020 10 15,dataweekenders unique formula,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/19/initial-thoughts-about-second-dataweekender/,2020 10 20,initial thoughts about second dataweekender,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/21/deploying-to-many-versions-of-sql-server-databases-using-one-commit/,2020 10 21,deploying to many versions of sql server databases using one commit,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/04/sharing-personal-azure-devops-organizations-to-test-sql-server-deployments/,2020 11 04,sharing personal azure devops organizations to test sql server deployments,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/12/sql-server-product-owner-tips-to-make-the-most-of-microsoft-teams/,2020 11 12,sql server product owner tips to make the most of microsoft teams,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/12/08/t-sql-tuesday-133-learning-new-things-by-building-demos/,2020 12 08,t sql tuesday 133 learning new things by building demos,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/01/10/patching-sql-server-on-windows-notes-from-the-field/,2020 12 17,patching sql server on windows notes from the field,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/01/04/an-interesting-month-to-take-off/,2021 01 04,an interesting month to take off,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/28/fixing-some-of-the-problems-caused-when-you-introduce-columnstore-indexes/,2021 01 05,fixing some of the problems caused when you introduce columnstore indexes,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/27/fixing-some-of-the-problems-caused-when-you-introduce-rowstore-filtered-indexes/,2021 01 05,fixing some of the problems caused when you introduce rowstore filtered indexes,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/18/a-unique-review-of-sql-server-index-types/,2021 01 05,a unique review of sql server index types,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/16/a-quick-introduction-to-power-bi-report-server/,2021 01 05,a quick introduction to power bi report server,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/26/a-couple-of-things-to-watch-out-for-if-deploying-power-bi-reporting-services/,2021 01 05,a couple of things to watch out for if deploying power bi reporting services,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/23/how-sql-server-dbas-can-use-power-bi-report-server/,2021 01 05,how sql server dbas can use power bi report server,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/09/my-first-t-sql-tuesday-contribution-death-march/,2021 01 06,my first t sql tuesday contribution death march,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/11/06/useful-sql-server-related-powershell-modules-for-the-dba/,2021 01 07,useful sql server related powershell modules for the dba,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/01/07/giving-some-2018-posts-a-makeover/,2021 01 07,giving some 2018 posts a makeover,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/01/12/t-sql-tuesday-134-taking-breaks/,2021 01 12,t sql tuesday 134 taking breaks,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/02/01/transform-your-sql-server-database-schema-for-a-dedicated-sql-pool/,2021 02 01,transform your sql server database schema for a dedicated sql pool,blog
